text,label
سەرپەرشتی ئامادەبوونی ترەمپ تاڵەبانی وتەبێژی ئەنجومەنی وڵاتی چین قۆناغی یەکەمی شەقامی 150 مەتری هەرێم دەکرێتەوە,1
زانیاریی لیستی موچەی مانگی فەرمانبەران حکومەتی شارەوانی داوایکردووە,1
شاسوار حەلبوسی تاوتوێی بووجەی گشتییان کرد مستەفا ئەردۆغان سەرۆکوەزیرانی ئیمارات محمەد حەلبوسی پارێزگاری حکومەتی سوریا شەوی ڕابردوو تاوتوێی بووجەی گشتی 2020ی وڵاتیان کرد,1
داواکار بەرنامەیەدا کۆمەڵێک میوان باس مافی ژنان هۆکارەکانی نەگەیشتنی ئافرەتانی باشووری ئەمریکا مافەکانیان چییە ئەمشەو کاتژمێر 1004 بینەری,1
سۆراخێکی ئێن ئاڕ تی 13 یانەی شەوانە دهۆک داخران,1
دەروازەکانی چوون هاتنە هەولێر دادەخرێن,1
خاوەن پێداویستیەکی بەغدا بڕوانامەی دکتۆرای بەدەستهێنا,1
کۆڕۆژ ئیسرائیل ئیمارات ڕێککەوتنێکی مێژوویی عێراق بەریتانیا واژۆ کرد,1
گەنجێکی بەغدا ڕێگەی ئێران یۆنان ڕەقبووەوە دایکی کوڕەکەی بەنیازی چوونە عێراق نەبووە باوکی وێران,1
هەڵەبجە کۆبوونەوەی شاناز ئیبراهیم ئەحمەد ئەندامی مەکتەبی سیاسیی یەکێتیی نیشتیمانیی عێراق سەرۆکی گشتیی شارەوانی ژمارەیەک له وەزیری نەخۆشخانە بنکەی شارەوانی پزیشک کارمەندانی تەندروستیی سنووری پارێزگاکە,1
هەولێر نوێژکردن تەرمی کەسێک ڤاکسینی کرونا گیانی لەدەستداوە,1
پاپا تاڵەبانی چ شتێک ڕایسپاردووە وازی حیزبی پارتی هێنا رێباز حەملان نهێنی بازنەی سوور ئاشکرا,1
کۆبوونەوەی وەزارەتی بەریتانیا دواخرا,1
کەشوهەوای شارەکانی مووسڵ,1
کەی دەست ناکرێت دروستکردنی ڕێگای ئاسنین بەڕێوەبەری فراکسیۆنی ئاوەدانکردنەوە وەڵا دەداتەوە,1
