text,time,post_url,user_id,likes,comments,link,images,video,label
لە ھێرشێكی چەكدارانی داعش بۆ سەر ھێزەكانی پێشمەرگە لە شارەدێی كوڵەجۆ دوو پێشمەرگە شەھید بوون,2020-04-07 14:26:32,https://facebook.com/Hawal-Kurdstan-884171251600078/posts/3486716088012235,884171251600078.0,215,34,,"['https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/92847176_3486715828012261_688842265275138048_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=110474&_nc_ohc=GFEvU9zOeEMAX_ZCrVK&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=8195b23fa6bd802222e9ae5b37356dd1&oe=607061A9', 'https://scontent.fisu1-4.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/92648499_3486715918012252_2237662430614257664_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=110474&_nc_ohc=6YE6SIMoG34AX_gAsYm&_nc_ht=scontent.fisu1-4.fna&tp=14&oh=de026493c2dc97e7336ec233ebffcc1a&oe=606CFD31', 'https://scontent.fisu1-4.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/92347587_3486716044678906_575690046191960064_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=110474&_nc_ohc=jpe92nNfj6oAX-5kDzd&_nc_ht=scontent.fisu1-4.fna&tp=14&oh=a2be511f3d411b6e0cb57631ed29a941&oe=606FE4A1']",,1
"جاش و خۆفرۆش و تورک عەرەب و ئیرانیت بە قوربانی قۆندرەت بیت

سەرۆک و رابەرمان",2021-02-13 11:52:34,https://facebook.com/Hawal-Kurdstan-884171251600078/posts/4408259522524549,884171251600078.0,114,17,,['https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/150345126_4408259485857886_406837174866553573_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=110474&_nc_ohc=h8DnrM_jU-UAX9OXin6&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=35592e394fcf9553d7ef72e58d833226&oe=606D6CB0'],,1
"تڕحێو هههههههههههه
خوا ئاگادارە تورکیا نەبێت پەکەکە هەتا ناو ئەستەنبول ڕایان دەماڵێ",2020-11-06 12:18:01,https://facebook.com/%D8%AA%DB%95%D9%86%D8%B2%DB%8C-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-102839087807387/posts/369754087782551,102839087807387.0,52,10,,['https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/124054761_369754034449223_7554831793224481102_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=110474&_nc_ohc=3NT4TJCCVZEAX8qxafC&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=317ae8d7381c6b31d2934c893a06b809&oe=60728DA4'],,1
"هه‌ر له‌ باسی نوكته‌كانی دیموكراسیه‌ت

ده‌ڵێن ........

كاتێك 93% له‌ ده‌نگه‌كان جیاكرانه‌وه‌
ئاڵا تاله‌بانی 900 ده‌نگی هێنابوو
كاتێك 100% جیاكرانه‌وه‌
ئاڵا تاله‌بانی 2900 ده‌نگی به‌ ده‌ست هێنا !
به‌و واتایه‌یه‌ی
ڕێژه‌ی ده‌نگه‌كانی به‌ڕێژه‌ی 200% زیادی كرد له‌و ته‌نها 7% یه‌ی مابوو !!
😂😂😂😂😂😂😂",2018-05-19 03:40:54,https://facebook.com/Kirkuk.Arama/posts/247915599088786,208907162989630.0,112,8,,['https://scontent.fisu1-4.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/32891517_247915589088787_5745465326242365440_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&_nc_ohc=PPqnywtMclUAX-L3Cm7&_nc_ht=scontent.fisu1-4.fna&tp=14&oh=fac89491614d74281c06f0a0151e4192&oe=606DF108'],,1
سواری هەر هەموتان ئەبم قسە نەکەن ها🤣,2020-04-06 03:44:33,https://facebook.com/%D8%AA%DB%95%D9%86%D8%B2%DB%8C-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-102839087807387/posts/206276697463625,102839087807387.0,38,2,,['https://scontent.fisu1-4.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/92871920_206276484130313_3041182556075589632_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=110474&_nc_ohc=Xw3gLdBgJFkAX_3wbum&_nc_ht=scontent.fisu1-4.fna&tp=14&oh=2079fe1c87c6378ba12ddf5b3283aa6e&oe=6070D732'],,1
ئەمە حاڵی دادگا حیزبییەکانی کوردستانە بەتەمای ئەمانە حەق بۆتۆ بگێڕنەوە...هەی تڕحێو...,2020-05-13 14:54:28,https://facebook.com/%D8%AA%DB%95%D9%86%D8%B2%DB%8C-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-102839087807387/posts/233918694699425,102839087807387.0,202,15,,['https://scontent.fisu1-4.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/97419477_233918261366135_5040289910225895424_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=110474&_nc_ohc=2mQ8aekeK-gAX_9SQVv&_nc_ht=scontent.fisu1-4.fna&tp=14&oh=0201c79f0c980c32377c9ba62ba4dd7e&oe=607394F7'],,1
وێنەی شوێنی بە ئامانج گیراوی هێرشەكەی ئەم شەو,2018-03-09 12:27:45,https://facebook.com/Kirkuk.Arama/posts/225968197950193,208907162989630.0,175,0,,"['https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/28958594_225968121283534_8905998108576448512_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=110474&_nc_ohc=OS_-K14UdqkAX9Mss_z&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=58ddd32af24398b3b47947c220313f48&oe=606D81DD', 'https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/28958640_225968131283533_7616462816794378240_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=110474&_nc_ohc=tJdJSKgNUTMAX9H97dp&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=63269e9ded65127f1c319b44d65c5d86&oe=606E74FF']",,1
"پێش ئەوەی رووبدات لاھور فریای خۆی کەوت

سۆران عومه‌ر بۆ خه‌سره‌و گوڵ محه‌مه‌د:

ئه‌گه‌ر شێخ لاهور پشتیوانیم نه‌کا، ناچار ئه‌بم هه‌نێک راستی بدرکێنم",2020-06-15 12:35:32,https://facebook.com/Hawal-Kurdstan-884171251600078/posts/3674370785913430,884171251600078.0,50,1,,['https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/104491577_3674370702580105_4803234667734752137_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=110474&_nc_ohc=Ty_g5_2TCTsAX_yRO3U&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=8b90a7fab6231e564fa4b6085f619374&oe=606F7064'],,1
بۆچونی ئێوە چییە؟,2020-02-14 12:45:20,https://facebook.com/%D8%AA%DB%95%D9%86%D8%B2%DB%8C-%D8%B3%DB%8C%D8%A7%D8%B3%DB%8C-102839087807387/posts/167858457972116,102839087807387.0,102,6,,['https://scontent.fisu1-4.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/86254407_167858391305456_3902051236651728896_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=110474&_nc_ohc=zjuJdtMeDzwAX_P1K6l&_nc_ht=scontent.fisu1-4.fna&tp=14&oh=0110811767b396ac2cf1a7f7a7655768&oe=6073E2F4'],,1
"ھەمووتان بەژدار بن
ئایا پێت باشە قەدەغەی هاتووچۆ درێژ بکرێتەوە؟
1_بەڵێ
2_نەخێر",2020-03-30 00:55:08,https://facebook.com/Hawal-Kurdstan-884171251600078/posts/3464973690186475,884171251600078.0,187,103,,['https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/91783941_3464973570186487_179087831161896960_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=8024bb&_nc_ohc=98DsynUx3psAX_GCW8d&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=cdac3351ea6ace63da03596c83cc8c79&oe=606E8EA0'],,1
