text,time,post_url,user_id,likes,comments,link,images,video,label
بە سەرپەرشتی و ئامادەبوونی، مه‌سرور بارزانی، سەرۆکی حکومەتی هه‌رێمی كوردستان قۆناغی یەکەمی شەقامی 150 مەتری لە هەولێر دەکرێتەوە,2021-02-25 03:59:54,https://facebook.com/kurdistan24.official/posts/2970682069861907,1411743405755789.0,1809,49,,['https://scontent.fisu1-3.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/154447920_2970680659862048_2650532497600997400_o.jpg?_nc_cat=107&ccb=1-3&_nc_sid=8024bb&_nc_ohc=f7OLVPoT3ocAX9Y1hnI&_nc_ht=scontent.fisu1-3.fna&tp=14&oh=536e30d7f758db64842728e1bad2090e&oe=606F6268'],,0
داوی بوویەر و پێشهاتێن نوو ل ئێن ئاڕ تى,2020-09-15 06:58:08,https://facebook.com/naliatv/videos/1198493963855700,152858888093521.0,874,33,,[],https://video.fisu1-4.fna.fbcdn.net/v/t42.1790-2/10000000_105518847919927_5164574070679990856_n.mp4?_nc_cat=103&vs=f2d6b520f73cceb9&_nc_vs=HBksFQAYJEdJQ1dtQUEzaDNJRl9GOEFBRWp5RWhQQlFLeEhidjRHQUFBRhUAAsgBABUAGCRHSUNXbUFEY2lIc1AyM1VHQUN2dEVRMzZZalloYnY0R0FBQUYVAgLIAQAoRC1pICclcycgLWZiX3VzZV90ZmR0X3N0YXJ0dGltZSAxIC1pICclcycgLWMgY29weSAtbW92ZmxhZ3MgZmFzdHN0YXJ0KwOIEnByb2dyZXNzaXZlX3JlY2lwZQExIG1lYXN1cmVfb3JpZ2luYWxfcmVzb2x1dGlvbl9zc2ltAChjb21wdXRlX3NzaW1fb25seV9hdF9vcmlnaW5hbF9yZXNvbHV0aW9uABUAJQAcAAAmqsOU5sOBoQQVAigCQzMYA2F2MRwXQJhZu2RaHKwYGWRhc2hfbGl2ZV9tZF9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCIgVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9zZBNvZW1fcmVxdWVzdF90aW1lX21zDTE2MTUzOTY1OTQ5MTgMb2VtX2NmZ19ydWxlCndhc2xpdmVfc2QTb2VtX3JvaV9yZWFjaF9jb3VudAczMTM4Njc2DG9lbV92aWRlb19pZBAxMTk4NDkzOTYzODU1NzAwEm9lbV92aWRlb19hc3NldF9pZBAxMTk4NDkzOTU3MTg5MDM0FW9lbV92aWRlb19yZXNvdXJjZV9pZBAxMTk4NDkzOTUzODU1NzAxHG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQPNzcwMzU1NzU2ODUzNzg1JQQcAAA%3D&ccb=1-3&_nc_sid=a6057a&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=rIjGgS9SmVQAX-Fjgq9&_nc_ht=video.fisu1-4.fna&oh=3c2e99b9563287d3549b40febd02ae87&oe=60492179&_nc_rid=da389228eb4748d,0
زانیاریی نوێ لەسەر لیستی موچەی سێ مانگی فەرمانبەران، کە وەزارەتی دارایی داوایکردووە,2020-12-26 22:59:11,https://facebook.com/naliatv/videos/230096795162525,152858888093521.0,6224,369,,[],https://scontent.fisu1-3.fna.fbcdn.net/v/t66.36281-6/10000000_471058203910779_7470057929349040605_n.mp4?_nc_cat=107&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=grIJAyt1OZYAX-ij88W&_nc_ht=scontent.fisu1-3.fna&oh=87ac7f8956775348c9c1cb62a57f1fcc&oe=606E6B7B,0
ئاگرێکی گەورە لە بەندەری بەیرووت کەوتووەتەوە,2020-09-10 02:38:42,https://facebook.com/kurdistan24.official/videos/441645233441229,1411743405755789.0,2566,75,,[],https://video.fisu1-4.fna.fbcdn.net/v/t42.1790-2/10000000_687177941894702_4957924174173302888_n.mp4?_nc_cat=109&vs=6141dffa75605fe1&_nc_vs=HBksFQAYJEdJQ1dtQUF1eGg4Vi1IQUNBR2p3NjZqRUZjNUVidjRHQUFBRhUAAsgBABUAGCRHQU1hSEFleW5FbVdiQ2tEQUdBdFNTSjRidklYYnY0R0FBQUYVAgLIAQAoRC1pICclcycgLWZiX3VzZV90ZmR0X3N0YXJ0dGltZSAxIC1pICclcycgLWMgY29weSAtbW92ZmxhZ3MgZmFzdHN0YXJ0KwOIEnByb2dyZXNzaXZlX3JlY2lwZQExIG1lYXN1cmVfb3JpZ2luYWxfcmVzb2x1dGlvbl9zc2ltAChjb21wdXRlX3NzaW1fb25seV9hdF9vcmlnaW5hbF9yZXNvbHV0aW9uABUAJQAcAAAmnM3HqpHryAEVAigCQzMYA2F2MRwXQGr52yLQ5WAYGWRhc2hfbGl2ZV9tZF9mcmFnXzJfdmlkZW8SABgYdmlkZW9zLnZ0cy5jYWxsYmFjay5wcm9kOBJWSURFT19WSUVXX1JFUVVFU1QbCIgVb2VtX3RhcmdldF9lbmNvZGVfdGFnBm9lcF9zZBNvZW1fcmVxdWVzdF90aW1lX21zDTE2MTUzOTQ1OTI0OTMMb2VtX2NmZ19ydWxlCndhc2xpdmVfc2QTb2VtX3JvaV9yZWFjaF9jb3VudAcyMjAwNDE0DG9lbV92aWRlb19pZA80NDE2NDUyMzM0NDEyMjkSb2VtX3ZpZGVvX2Fzc2V0X2lkDzQ0MTY0NTIyNjc3NDU2MxVvZW1fdmlkZW9fcmVzb3VyY2VfaWQPNDQxNjQ1MjIzNDQxMjMwHG9lbV9zb3VyY2VfdmlkZW9fZW5jb2RpbmdfaWQPMzEzMTY2NjU5OTQxNjM2JQQcAAA%3D&ccb=1-3&_nc_sid=a6057a&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=HyYgsJjMC7oAX8e9BWP&_nc_ht=video.fisu1-4.fna&oh=06db0dcff44b5586abe2bf8b53cd11ec&oe=60491362&_nc_rid=8b666063990c4b7,0
"عەلى حەمە ساڵح: تەنها دووکەس ئاگادارى ناوەرۆکى گرێبەستى (50) ساڵەى نەوتن


عەلى حەمە ساڵح: تەنها دووکەس ئاگادارى ناوەرۆکى گرێبەستى (50) ساڵەى نەوتن",2020-12-04 07:04:17,https://facebook.com/KNN.KRD/posts/4201907839837141,147415918619707.0,1932,72,https://www.knnc.net/Details.aspx?jimare=34029,[],,0
"کازمی و حەلبوسی تاوتوێی بووجەی گشتییان کرد

هەریەک لە مستەفا کازمی سەرۆکوەزیرانی عێراق و محمەد حەلبوسی سەرۆکی پەرلەمانی عێراق، شەوی رابردوو تاوتوێی بووجەی گشتی 2020ی وڵاتیان کرد.
https://www.knnc.net/Details.aspx?jimare=32268",2020-09-06 22:15:08,https://facebook.com/KNN.KRD/posts/3927278730633388,147415918619707.0,580,3,https://www.knnc.net/Details.aspx?jimare=32268,['https://scontent.fisu1-4.fna.fbcdn.net/v/t1.0-9/fr/cp0/e15/q65/119003824_3927373920623869_2005689540988937531_o.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_ohc=e-M8EwILO6UAX_cCuNZ&_nc_ht=scontent.fisu1-4.fna&tp=14&oh=20b88d9376915aa37f784668c62ec5d0&oe=607090A7'],,0
"بۆمبه‌ چێنراوه‌كه‌‌ به‌ ئۆتۆمبێلێكدا ته‌قیوه‌ته‌وه


بۆمبێكی چێنراو له‌ عه‌فرین ته‌قییه‌وه‌",2021-02-24 04:11:18,https://facebook.com/kurdistan24.official/posts/2969807879949326,1411743405755789.0,603,4,https://www.kurdistan24.net/ckb/story/201675-%D8%A8%DB%86%D9%85%D8%A8%DB%8E%D9%83%DB%8C-%DA%86%DB%8E%D9%86%D8%B1%D8%A7%D9%88-%D9%84%D9%87%E2%80%8C-%D8%B9%D9%87%E2%80%8C%D9%81%D8%B1%DB%8C%D9%86-%D8%AA%D9%87%E2%80%8C%D9%82%DB%8C%DB%8C%D9%87%E2%80%8C%D9%88%D9%87%E2%80%8C,[],,0
"داواکار لەم بەرنامەیەدا لەگەڵ کۆمەڵێک میوان باس لە مافی ژنان دەکات
هۆکارەکانی نەگەیشتنی ئافرەتانی باشووری کوردستان بە مافەکانیان چییە؟
ئەمشەو کاتژمێر 10:04 بینەری بن",2021-03-10 05:00:01,https://facebook.com/kurdistan24.official/videos/430936911509871,1411743405755789.0,523,8,,[],https://video.fisu1-3.fna.fbcdn.net/v/t42.1790-2/159079917_250051630103498_7222673969075645851_n.mp4?_nc_cat=102&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=oVLc3L_st-kAX8-D_hR&_nc_ht=video.fisu1-3.fna&oh=26b7e6dd1a3594a5263f95c30146c77f&oe=604918EF,0
"دوای سۆراخێکی ئێن ئاڕ تی؛ ١٣ یانەی شەوانە لە سلێمانی داخران


دوای سۆراخێکی ئێن ئاڕ تی؛ ١٣ یانەی شەوانە لە سلێمانی داخران",2021-02-24 18:00:04,https://facebook.com/naliatv/posts/4194674263911943,152858888093521.0,1149,87,https://nrttv.com/News.aspx?id=40833&MapID=1,[],,0
سەرجەم دەروازەکانی چوون و هاتنە ناو کەرکووك دادەخرێن,2020-03-21 08:10:48,https://facebook.com/kurdistan24.official/videos/240186127119737,1411743405755789.0,3074,36,,[],https://scontent.fisu1-4.fna.fbcdn.net/v/t66.36281-6/10000000_865574844241032_1334760618138834230_n.mp4?_nc_cat=109&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6Im9lcF9zZCJ9&_nc_ohc=zYb5YqKcstMAX_ZVNew&_nc_ht=scontent.fisu1-4.fna&oh=13f5dad28f316a2a18afff59fdd3a2c7&oe=606DBF64,0
